S&P500(USD)
Date,Value
02/1992,10000
03/1992,9805.512268478220
04/1992,10093.416192839200
05/1992,10142.892797892600
06/1992,9991.988103802300
07/1992,10400.196312430400
08/1992,10187.33575088460
09/1992,10307.052775744500
10/1992,10342.66586407880
11/1992,10694.832746423500
12/1992,10826.085223924100
01/1993,10916.607066828000
02/1993,11065.372458792200
03/1993,11298.850020239500
04/1993,11025.753422359100
05/1993,11320.704459606000
06/1993,11353.842669010100
07/1993,11308.183250103300
08/1993,11737.239167685600
09/1993,11647.241663538100
10/1993,11888.16483532620
11/1993,11774.844743294200
12/1993,11917.213202430400
01/1994,12322.35927272120
02/1994,11987.915040342600
03/1994,11465.27514151900
04/1994,11612.299728812000
05/1994,11802.865406435900
06/1994,11513.556254207800
07/1994,11891.625471118400
08/1994,12379.176620364100
09/1994,12076.465369522500
10/1994,12347.779215631200
11/1994,11898.08532459720
12/1994,12074.577749999500
01/1995,12387.71285531820
02/1995,12870.482035105500
03/1995,13250.250109586800
04/1995,13640.421064994900
05/1995,14185.607530343500
06/1995,14515.102004861700
07/1995,14996.465956781900
08/1995,15034.155426591500
09/1995,15668.626295378900
10/1995,15612.626916196000
11/1995,16298.000591454100
12/1995,16611.93269168250
01/1996,17177.337659477600
02/1996,17336.589826569700
03/1996,17503.476365954900
04/1996,17761.534928301900
05/1996,18219.597265888000
06/1996,18289.103611435600
07/1996,17481.07661428170
08/1996,17849.83357487870
09/1996,18854.508579230700
10/1996,19374.526784272400
11/1996,20838.983957331400
12/1996,20426.077673446000
01/1997,21702.192365208200
02/1997,21872.287857782600
03/1997,20973.59220287300
04/1997,22225.692179592300
05/1997,23578.863694994200
06/1997,24635.238500726700
07/1997,26595.405534081000
08/1997,25105.48647101140
09/1997,26480.42853157880
10/1997,25596.057811493900
11/1997,26780.95853319380
12/1997,27240.887516752600
01/1998,27542.193539727000
02/1998,29528.68237865230
03/1998,31040.791457892500
04/1998,31353.087621200900
05/1998,30814.193220929100
06/1998,32065.831779542800
07/1998,31724.382381378800
08/1998,27137.76057014500
09/1998,28876.21620374550
10/1998,31225.065070439700
11/1998,33117.55045711850
12/1998,35025.954768441500
01/1999,36490.600703452900
02/1999,35356.51889402280
03/1999,36771.07999102330
04/1999,38195.058212088700
05/1999,37293.13263043980
06/1999,39362.80256967940
07/1999,38133.7105775906
08/1999,37945.05349303990
09/1999,36904.82832100440
10/1999,39240.19119488410
11/1999,40037.878231761900
12/1999,42395.95546056870
01/2000,40265.88169659240
02/2000,39503.66093319720
03/2000,43368.24730332580
04/2000,42063.482741914200
05/2000,41200.46309598970
06/2000,42216.19116132650
07/2000,41556.174508327500
08/2000,44137.41031185570
09/2000,41807.2488784394
10/2000,41630.504770434
11/2000,38348.374864458400
12/2000,38536.06716569730
01/2001,39903.29095977060
02/2001,36264.84140849970
03/2001,33967.44066058290
04/2001,36607.06682802320
05/2001,36852.33152471420
06/2001,35955.397648026100
07/2001,35601.448013909700
08/2001,33372.73564308050
09/2001,30677.8022236158
10/2001,31262.796487349800
11/2001,33660.84930294410
12/2001,33955.737419540200
01/2002,33460.21632119730
02/2002,32814.92310047800
03/2002,34049.069718178400
04/2002,31984.748034254
05/2002,31749.110197130400
06/2002,29487.637140801700
07/2002,27188.936032769100
08/2002,27367.441918996000
09/2002,24393.16178367460
10/2002,26540.161202707300
11/2002,28102.292199307500
12/2002,26451.33821737410
01/2003,25758.41406402390
02/2003,25371.93445346070
03/2003,25618.268801214800
04/2003,27728.459639548600
05/2003,29189.39325616470
06/2003,29561.757667405600
07/2003,30082.971364811800
08/2003,30669.66448611660
09/2003,30343.966224194700
10/2003,32060.52547132810
11/2003,32342.598748718000
12/2003,34038.79267855310
01/2004,34663.57376712230
02/2004,35145.37816359790
03/2004,34615.16681313200
04/2004,34071.76309955520
05/2004,34539.326455407100
06/2004,35210.94148169740
07/2004,34045.56713528570
08/2004,34183.27946626510
09/2004,34553.50457538000
10/2004,35081.38786176750
11/2004,36500.835795977700
12/2004,37742.91041567480
01/2005,36822.926607255600
02/2005,37597.83636855560
03/2005,36932.051989236400
04/2005,36231.6193048946
05/2005,37384.451468253400
06/2005,37437.51455040050
07/2005,38829.75978992890
08/2005,38475.47457900840
09/2005,38787.09958870870
10/2005,38140.48503432320
11/2005,39583.04582091520
12/2005,39596.825443433300
01/2006,40645.25127361880
02/2006,40755.551174413900
03/2006,41262.85940800060
04/2006,41816.91768510730
05/2006,40613.37147723010
06/2006,40668.427046651500
07/2006,40919.291681260800
08/2006,41892.88388413370
09/2006,42972.47640999940
10/2006,44372.775492826
11/2006,45216.56239316600
12/2006,45850.84450000110
01/2007,46544.2720185574
02/2007,45633.915069705600
03/2007,46144.327388730100
04/2007,48188.304728906400
05/2007,49869.83814711270
06/2007,49041.340964909200
07/2007,47520.82149201640
08/2007,48233.16715290350
09/2007,50037.01831620140
10/2007,50832.943574857700
11/2007,48707.798595191600
12/2007,48369.8727534706
01/2008,45468.58057303930
02/2008,43991.49732272630
03/2008,43801.53987805980
04/2008,45934.82259522520
05/2008,46529.80026888090
06/2008,42607.15911164430
07/2008,42248.99379392650
08/2008,42860.121101279200
09/2008,39040.96344100460
10/2008,32484.128265843900
11/2008,30153.232758168700
12/2008,30474.065156431200
01/2009,27905.518350807800
02/2009,24934.216459622800
03/2009,27118.381009708700
04/2009,29713.857853860500
05/2009,31375.801976127900
06/2009,31438.093420387500
07/2009,33815.864812884500
08/2009,35036.73517327300
09/2009,36344.226296217800
10/2009,35669.08771348450
11/2009,37808.599575075900
12/2009,38538.89859498190
01/2010,37152.54692307530
02/2010,38303.36562560950
03/2010,40614.86059929820
04/2010,41256.02203061720
05/2010,37961.70649194300
06/2010,35974.46260520860
07/2010,38494.85413944480
08/2010,36757.195500754
09/2010,40037.45876075680
10/2010,41560.97745133610
11/2010,41566.220838900100
12/2010,44344.167570277100
01/2011,45395.15217359390
02/2011,46950.340925059400
03/2011,46969.007384787000
04/2011,48359.97323774990
05/2011,47812.563576074200
06/2011,47015.56866635490
07/2011,46059.59424569680
08/2011,43557.449700183100
09/2011,40495.52109834290
10/2011,44921.35967331600
11/2011,44822.15478060620
12/2011,45280.63658919740
01/2012,47309.82757644340
02/2012,49355.58766839140
03/2012,50979.77940019840
04/2012,50659.93275879790
05/2012,47615.202468167400
06/2012,49577.06835909240
07/2012,50265.63001398940
08/2012,51397.78225679600
09/2012,52726.03719449400
10/2012,51752.44499162110
11/2012,52052.57649578120
12/2012,52526.99820256670
01/2013,55247.68714174560
02/2013,55997.70129889200
03/2013,58097.78288600250
04/2013,59217.14126315310
05/2013,60602.23452204430
06/2013,59788.46077212030
07/2013,62830.883972222600
08/2013,61011.21875203180
09/2013,62924.42600636340
10/2013,65816.88832213700
11/2013,67822.58893309650
12/2013,69539.69349253660
01/2014,67135.28569121480
02/2014,70206.44265516760
03/2014,70796.42862386250
04/2014,71319.71870274400
05/2014,72994.03721966230
06/2014,74501.82574754980
07/2014,73474.33152051950
08/2014,76413.77458886600
09/2014,75342.23590629860
10/2014,77182.45520574000
11/2014,79258.20747455380
12/2014,79058.53927611890
01/2015,76685.17232917570
02/2015,81092.5541799237
03/2015,79810.0215817832
04/2015,80575.76590162150
05/2015,81611.85928425660
06/2015,80031.92174348930
07/2015,81708.75708643830
08/2015,76778.92409881900
09/2015,74879.13991665110
10/2015,81195.53431167950
11/2015,81436.93987512350
12/2015,80152.51965746000
01/2016,76175.09558695530
02/2016,76072.325190702
03/2016,81232.86723113480
04/2016,81547.88995597650
05/2016,83012.26323483460
06/2016,83227.45186045880
07/2016,86295.88226287830
08/2016,86417.10938335670
09/2016,86433.25901705360
10/2016,84856.67724432720
11/2016,87999.35401465210
12/2016,89738.69053736330
01/2017,91440.69414061930
02/2017,95071.63516089860
03/2017,95182.37550624910
04/2017,96159.95268367060
05/2017,97513.16614617300
06/2017,98121.81857459560
07/2017,100139.4741092010
08/2017,100446.10741394000
09/2017,102518.08444370800
10/2017,104910.32758588100
11/2017,108127.87993061900
12/2017,109330.08383128000
01/2018,115589.63990511600
02/2018,111329.49237716300
03/2018,108500.16044765900
04/2018,108916.48542023700
05/2018,111539.43761522300
06/2018,112225.90191509500
07/2018,116402.36497752700
08/2018,120195.22180578100
09/2018,120879.37901512400
10/2018,112617.26836286800
11/2018,114912.19423185400
12/2018,104536.78865582600
01/2019,112913.83436348400
02/2019,116539.32226069700
03/2019,118803.83648181300
04/2019,123614.12023297400
05/2019,115758.6867201770
06/2019,123916.97829866800
07/2019,125698.05218638800
08/2019,123706.82332510500
09/2019,126021.46433133200
10/2019,128750.96216161800
11/2019,133424.49836511200
12/2019,137451.62974972300
01/2020,137397.7277255650
02/2020,126087.32127913500
03/2020,110513.83100771600
04/2020,124681.04473448500
05/2020,130619.28601840200
06/2020,133217.06995308200
07/2020,140728.53724168500
08/2020,150844.08053004400
09/2020,145112.4287161460
10/2020,141253.50520458700
11/2020,156715.62592414700
12/2020,162741.11717712800
01/2021,161098.0492500910
02/2021,165540.24719426300
03/2021,172790.17431117600
04/2021,182011.8248876340
05/2021,183283.03176863700
06/2021,187561.8457563170
07/2021,192017.2570371500
08/2021,197855.66422185000
09/2021,188653.51904713000
10/2021,201870.84068281500
11/2021,200472.11461625700
12/2021,209456.55433932300
01/2022,198617.8430381450
02/2022,192670.79286312000
03/2022,199824.6611198620
04/2022,182399.62583186300
05/2022,182734.153958443
06/2022,167650.60582099900
07/2022,183108.74156601100
08/2022,175641.3187329460
09/2022,159464.83889167400
10/2022,172375.317487117
11/2022,182008.46911959300
12/2022,171522.11346271200
01/2023,182299.58199714300
02/2023,177851.5114588990
03/2023,184381.2068600290
04/2023,187259.1974261260
05/2023,188073.18091155200
06/2023,200500.21917360000
07/2023,206941.1964571480
08/2023,203646.4614474690
09/2023,193936.9660920610
10/2023,189859.07871583100
11/2023,207198.1224477810
12/2023,216611.26153807400
01/2024,220251.22118496400
02/2024,232011.72001988300
03/2024,239476.62602691700
04/2024,229695.19139413300
